Reference, Value, Footprint, Datasheet
"J2","RJ45","Connectors:RJ45_8",""
"J3","LED Connector","Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM3-96mm_Lock_3pin_straight",""
"U1","TL084","SMD_Packages:SOIC-14_N",""
"U3","TL084","SMD_Packages:SOIC-14_N",""
"D1","1N4148","Diodes_SMD:D_SOD-123",""
"D2","D","Diodes_SMD:D_SOD-123",""
"R3","15k","Resistors_SMD:R_0603_HandSoldering",""
"R4","6.6k","Resistors_SMD:R_0603_HandSoldering",""
"D4","D","Diodes_SMD:D_SOD-123",""
"D3","D","Diodes_SMD:D_SOD-123",""
"R12","10k","Resistors_SMD:R_0603_HandSoldering",""
"R9","9k","Resistors_SMD:R_0603_HandSoldering",""
"D5","D","Diodes_SMD:D_SOD-123",""
"R11","3.9k","Resistors_SMD:R_0603_HandSoldering",""
"R13","15k","Resistors_SMD:R_0603_HandSoldering",""
"R2","1m","Resistors_SMD:R_0603_HandSoldering",""
"R1","10m","Resistors_SMD:R_0603_HandSoldering",""
"D6","1N4148","Diodes_SMD:D_SOD-123",""
"R7","10k","Resistors_SMD:R_0603_HandSoldering",""
"R5","10k","Resistors_SMD:R_0603_HandSoldering",""
"R6","10k","Resistors_SMD:R_0603_HandSoldering",""
"R10","20k","Resistors_SMD:R_0603_HandSoldering",""
"R8","20k","Resistors_SMD:R_0603_HandSoldering",""
"R17","100k","Resistors_SMD:R_0603_HandSoldering",""
"C4","104","Capacitors_SMD:C_0805_HandSoldering",""
"R16","10k","Resistors_SMD:R_0603_HandSoldering",""
"D8","1N4148","Diodes_SMD:D_SOD-123",""
"D9","BZX79C3V3","Diodes_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",""
"R14","8k","Resistors_SMD:R_0603_HandSoldering",""
"R15","600","Resistors_SMD:R_0603_HandSoldering",""
"D7","BZX79C3V3","Diodes_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",""
"RV1","10k","Potentiometers:Potentiometer_WirePads_Small",""
"RV2","5k","Potentiometers:Potentiometer_WirePads_Small",""
"J1","input","Wire_Connections_Bridges:WireConnection_2.50mmDrill",""
"C2","100u","Capacitors_THT:CP_Radial_D4.0mm_P1.50mm",""
"C1","330u","Capacitors_THT:CP_Radial_D4.0mm_P1.50mm",""
"C3","100u","Capacitors_THT:CP_Radial_D4.0mm_P1.50mm",""
"C5","100u","Capacitors_THT:CP_Radial_D4.0mm_P1.50mm",""
"C6","104","Capacitors_SMD:C_0805_HandSoldering",""
"C7","104","Capacitors_SMD:C_0805_HandSoldering",""
